id,sea_skill,tp_skill
TGS-2018504973,"['Customer Experience Management', 'Communication']",['Service Excellence']
TGS-2018504983,"['Workplace Safety And Health For Incident And Accident Investigation', 'Cybersecurity', 'Threat Analysis And Defence', 'Threat Intelligence And Detection']","['Cyber And Data Breach Incident Management', 'Threat Intelligence And Detection']"
TGS-2018504984,"['Cybersecurity', 'Threat Intelligence And Detection', 'Security Administration', 'Security Management']","['Security Administration', 'Security Programme Management']"
TGS-2018504985,"['Cybersecurity', 'Security Architecture', 'Operation Management']","['Infrastructure Deployment', 'Security Strategy']"
TGS-2018504991,"['Food And Beverage Services', 'Bell Service Delivery']","['Room Reservation Operations Management', 'Interact And Serve Food And Beverage Customers']"
TGS-2018504992,['Financial Administration'],"['Budgeting', 'Front Office Operations Management']"
TGS-2018504995,['Product Advisory'],['Product Advisory']
TGS-2018504997,"['Cleaning And Sterilising', 'Visual Merchandising Presentation']",['Visual Merchandising Presentation']
TGS-2018504999,['Sales Closure'],['Sales Closure']
TGS-2018505008,['Food And Beverage Safety And Hygiene'],['Food Safety And Hygiene']
TGS-2018505009,['Food And Beverage Safety And Hygiene'],['Food Safety And Hygiene']
TGS-2018505011,"['Cleaning And Sterilising', 'Cleaning Chemical Handling', 'Risk Assessment']","['Cleaning Chemical Handling', 'Effectiveness Management']"
TGS-2018505012,['Cleaning And Sterilising'],"['Washroom Maintenance', 'Horizontal Surface Maintenance']"
TGS-2018505015,"['Business Model Innovation', 'Business Innovation', 'Innovation']",['Business Innovation']
TGS-2018505016,"['Product Management', 'Brand Management']","['Product Management', 'Quality Standards']"
TGS-2018505017,"['Risk Management', 'Communication', 'Stakeholder Management', 'Stakeholder Engagement And Management', 'Procurement']","['Procurement', 'Stakeholder Management']"
TGS-2018505023,['Documentation'],['Problem Management']
TGS-2018505024,"['Programme Evaluation', 'Collaboration']",['Learning And Development Programme Management']
TGS-2018505029,['Programming And Coding'],['Operate Programmable Logic Controller']
TGS-2018505030,"['Control System Programming', 'Programming And Coding']",['Write Software Programmes']
TGS-2018505031,"['Control System Programming', 'Programming And Coding', 'Automation Research And Implementation', 'Communication']",['Implement Programming Of Programmable Logic Controllers']
TGS-2018505044,['Steering And Helmsmanship'],['Bus Steering And Suspension Systems Maintenance']
TGS-2018505045,"['Bus Equipment And Systems Operation', 'Bus Vehicle Operations']",['Bus Equipment And Systems Operation']
TGS-2018505046,['Bus Vehicle Operations'],['Bus Vehicle Operations']
TGS-2018505048,"['Applications Development', 'Programming And Coding', 'User Interface Design']",['Applications Development']
TGS-2018505049,['Bus Vehicle Operations'],['Bus Vehicle Operations']
TGS-2018505052,"['Customer Service Delivery', 'Service Leadership']",['Service Leadership']
TGS-2018505054,['Workplace Safety And Health'],['Pastry Preparation']
TGS-2018505057,"['Valuation', 'Workplace Safety And Health']",['Pastry Preparation']
TGS-2018505073,"['Workplace Safety And Health', 'Emergency Management']",['Workplace Safety And Health Practices Implementation']
TGS-2018505074,"['Vertical Surface Maintenance', 'Cleaning And Sterilising']",['Vertical Surface Maintenance']
